DealerID;Name;Address1;Address2;City;State;ZipCode;Phone;StoreID;URL;Latitude;Longitude;NewDate;ST;SA;Simmons OHM BT;Serta OHM BT;OHM CG;Legacy Simmons DealerID;Legacy Simmons OHM BT;Legacy Serta DealerID;Legacy Serta OHM_BT;Licensee Territory;LR Number;Brand;Rep SalesTeam;Rep Region;Rep Branch;Rep Territory;Sales Channel;Market Segment;Status Level;Rep Store Success;Hide From PTV;Email;Hide From Locator;FName;LName;User_ID;Simmons Approver;Simmons Approver_Rep_ID;Simmons Approver_User_ID;Serta Approver;Serta Approver_Rep_ID;Serta Approver_User_ID;freq;freqPhone;visitRhythm;Total Wholesale
46;Nebraska Furniture Mart;700 S 72nd St;;Omaha;NE;"	68114";(800) 359-1200;"	";www.nfm.com;"	41.2530654";"	-96.0246491";41:34,6;717525;717525;"	717525";"	";"	50180001";"	 ";"	 ";"	 ";"	 ";"	NO        ";29490;SIMMONS;Store Success;West;Mid West 1;Mid West 1_08;;;Black Diamond Preferred;YES;0;;0;Melissa;Ullrich;102021;Harris, Rick (Rep RHR);Rep RHR;101762;;;;48;0;1;
54;Lords Hardware  Furniture;102 S. 4th St;;Indianola;NE;"	69034";(308) 364-2211;"	";;"	40.2501789";"	-100.4170089";07:14,4;66893;66893;"	766893";"	";"	90004756";"	 ";"	 ";"	 ";"	 ";"	NO        ";16379;SIMMONS;Serta Simmons Bedding;SSB;Phoenix;Phoenix_01;;;;NO;0;;0;Dale;Anderson;101831;Stephens, Mason (Rep STP);Rep STP;100992;;;;0;0;4;
59;Nebraska Appliance Center;1201 W Omaha Ave;;Norfolk;NE;"	68701";(402) 379-1220;"	";;"	42.0180365";"	-97.4417199";07:14,4;449662;449662;"	7449662";"	";"	90004017";"	 ";"	 ";"	 ";"	 ";"	NO        ";16381;SIMMONS;Serta Simmons Bedding;SSB;Minneapolis;Minneapolis_05;;;;NO;0;;0;Andrea;McCoy;101917;McKittrick, Matt (Rep MMC);Rep MMC;101759;;;;0;0;4;
1018;Carson Pirie Scott Clearance Center;1835 W Jefferson Ave;;Naperville;IL;"	60540";(630) 305-0194;"	";www.carsons.com/shop/bed-bath/mattresses/facet-brand_Beautyrest/;"	41.7707224";"	-88.1978656";13:46,1;212380;212380;"	7302008";"	";"	50050000";"	 ";"	 ";"	 ";"	 ";"	NO        ";25383;SIMMONS;Store Success;West;Mid West 1;Mid West 1_11;;;;YES;0;;1;Scott ;Gustafson;101660;Ritchey, Roger (Rep RCY);Rep RCY;100164;;;;24;4;2;
1029;Palisades Furniture;83 Dean St.;;Englewood;NJ;"	07631";(201) 568-3500;"	";www.palisadefurniture.com;"	40.89075";"	-73.9756796";07:14,5;7300574;7300574;"	7300574";"	";"	90002540";"	 ";"	 ";"	 ";"	 ";"	NO        ";16385;SIMMONS;Serta Simmons Bedding;SSB;New York;New York_08;;;;NO;0;;0;James;Mele;101369;Leyva, Lou (Rep LLE);Rep LLE;101752;;;;0;0;4;
1051;Edwards;26 S Main St.;;Logan;UT;"	84321";(435) 752-4526;"	";;"	41.7308803";"	-111.8345126";41:35,0;60806;60806;"	760806";"	";"	70740070";"	 ";"	 ";"	 ";"	 ";"	yes       ";16386;SIMMONS;Simmons Bedding;Simmons;Simmons West;West 1;;;;NO;0;;0;Brad;Searle;101643;Mersbach, Tom (REP TME);REP TME;101569;;;;0;0;4;
1052;Edwards;1670 South Hwy 165;;Providence;UT;"	84321";(435) 753-1126;"	";;"	41.7034107";"	-111.8348325";41:35,1;60806;60806;"	760806";"	";"	70740070";"	 ";"	 ";"	 ";"	 ";"	yes       ";16387;SIMMONS;Simmons Bedding;Simmons;Simmons West;West 1;;;;NO;0;;0;Brad;Searle;101643;Mersbach, Tom (REP TME);REP TME;101569;;;;0;0;4;
1070;Mattress Factory Outlet;4708 NE Thurston Way;Ste B;Vancouver;WA;"	98662";(360) 260-2222;"	";bettersleepforless.com/About_Mattress_Factory_Outlet.aspx;"	45.656539";"	-122.5904941";07:14,5;231489;231489;"	7231489";"	";"	70080661";"	 ";"	 ";"	 ";"	 ";"	NO        ";16392;SIMMONS;Serta Simmons Bedding;SSB;Seattle;Seattle_05;;;;NO;0;;0;Stuart;Rice;101308;Rice, Stuart (Rep SRE);Rep SRE;101308;;;;48;0;1;
1079;Morro Bay Furniture;381 Quintana Rd;;Morro Bay;CA;"	93442";(805) 772-9740;"	";;"	35.3712732";"	-120.8481979";41:35,6;234871;234871;"	7234871";"	";"	90002324";"	 ";"	 ";"	 ";"	 ";"	NO        ";15475;SIMMONS;Serta Simmons Bedding;SSB;Los Angeles;Los Angeles_05;;;;NO;0;;0;Janet;Dechambeau;101811;Van Emmerik, Shawn (Rep SVE);Rep SVE;101570;;;;8;;4;
1085;The Sleep Shoppe;1969 Erringer Rd;;Simi Valley;CA;"	93065";(805) 583-8778;"	";www.sleepshoppe.net/mattress-brands/index.php?name=simmons;"	34.2713853";"	-118.7618264";41:35,7;505869;417353;"	7417353";"	";"	70740012";"	 ";"	 ";"	 ";"	 ";"	NO        ";15477;SIMMONS;Serta Simmons Bedding;SSB;Los Angeles;Los Angeles_01;;;;NO;0;;0;Richard;Ho;101556;Van Emmerik, Shawn (Rep SVE);Rep SVE;101570;;;;0;0;4;
1119;Furniture Outlet;740 West Main Street;;Barstow;CA;"	92311";(760) 256-2832;"	";;"	34.8969032";"	-117.0354954";41:36,3;416333;416333;"	7416333";"	";"	90002732";"	 ";"	 ";"	 ";"	 ";"	NO        ";15478;SIMMONS;Serta Simmons Bedding;SSB;Corporate;Corporate;;;;NO;0;bgchair@aol.com;0;Heather;Redman;102032;Morrissey, Heather (Rep HMO);Rep HMO;101670;;;;12;0;4;
1189;Central Furniture;26 River St;;Sanford;ME;"	04073";(207) 324-5474;"	";;"	43.4428745";"	-70.7744051";00:00,0;240457;240457;"	7240457";"	";"	70080012";"	 ";"	 ";"	 ";"	 ";"	NO        ";16398;SIMMONS;Serta Simmons Bedding;SSB;Boston;Boston_04;;;;NO;0;matt@shopcentral.com;0;Peter;Connolly;101770;Marano, Jacki (Rep JMA);Rep JMA;101558;;;;0;0;4;
1193;J Sproul Furniture;80 Main Street;;Newcastle;ME;"	04553";(207) 563-3535;"	";;"	44.0335145";"	-69.5338804";41:36,9;446482;35220;"	7300221";"	";"	90002522";"	 ";"	 ";"	 ";"	 ";"	NO        ";16400;SIMMONS;Serta Simmons Bedding;SSB;Boston;Boston_04;;;;NO;0;;0;Peter;Connolly;101770;Marano, Jacki (Rep JMA);Rep JMA;101558;;;;0;0;4;
